Boolean,Title,Date,URL
1,"US Airways – $368: Las Vegas – Punta Cana, Dominican Republic. Roundtrip, including all Taxes","August 19, 2014",http://faredealalert.com/2014/08/19/usairways-368-las-vegas-punta-cana-dominican-republic-roundtrip-including-all-taxes/
1,"United / All Nippon – $965: Detroit / Atlanta / Minneapolis – Manila, Philippines. Roundtrip, including all Taxes","August 19, 2014",http://faredealalert.com/2014/08/19/united-all-nippon-965-detroit-atlanta-minneapolis-manila-philippines-roundtrip-including-all-taxes/
1,"American – $259: Houston – Curacao. Roundtrip, including all Taxes","August 19, 2014",http://faredealalert.com/2014/08/19/american-259-houston-curacao-roundtrip-including-all-taxes/
1,"United – $831: San Diego – Ho Chi Minh City, Vietnam. Roundtrip, including all Taxes","August 18, 2014",http://faredealalert.com/2014/08/18/united-831-san-diego-ho-chi-minh-city-vietnam-roundtrip-including-all-taxes/
1,"Delta – $194: Orlando – Austin, Texas (and vice versa). Roundtrip, including all Taxes","August 18, 2014",http://faredealalert.com/2014/08/18/delta-194-orlando-austin-texas-and-vice-versa-roundtrip-including-all-taxes/
1,"United – $822: Atlanta / Minneapolis – Hong Kong. Roundtrip, including all Taxes","August 18, 2014",http://faredealalert.com/2014/08/18/united-822-atlanta-minneapolis-hong-kong-roundtrip-including-all-taxes/
1,"US Airways – $245: Las Vegas – Philadelphia (and vice versa). Roundtrip, including all Taxes","August 18, 2014",http://faredealalert.com/2014/08/18/us-airways-245-las-vegas-philadelphia-and-vice-versa-roundtrip-including-all-taxes/
1,"United – $733: Detroit – Hong Kong. Roundtrip, including all Taxes","August 18, 2014",http://faredealalert.com/2014/08/18/united-733-detroit-hong-kong-roundtrip-including-all-taxes/
1,"Delta – $865: Houston – Doha, Qatar. Roundtrip, including all Taxes","August 18, 2014",http://faredealalert.com/2014/08/18/delta-865-houston-doha-qatar-roundtrip-including-all-taxes/
1,"American – $782: Atlanta / Detroit / Minneapolis – Beijing, China. Roundtrip, including all Taxes","August 17, 2014",http://faredealalert.com/2014/08/17/american-782-atlanta-detroit-minneapolis-beijing-china-roundtrip-including-all-taxes/
1,"United – $924: Denver – Ho Chi Minh City, Vietnam. Roundtrip, including all Taxes","August 17, 2014",http://faredealalert.com/2014/08/17/united-924-denver-ho-chi-minh-city-vietnam-roundtrip-including-all-taxes/
1,"United – $786: Houston – Beirut, Lebanon. Roundtrip, including all Taxes","August 17, 2014",http://faredealalert.com/2014/08/17/united-786-houston-beirut-lebanon-roundtrip-including-all-taxes/
1,"United – $947: Atlanta / Minneapolis / Detroit – Seoul, South Korea. Roundtrip, including all Taxes","August 16, 2014",http://faredealalert.com/2014/08/16/united-947-atlanta-minneapolis-detroit-seoul-south-korea-roundtrip-including-all-taxes/
1,"Delta – $893: Houston – Shanghai, China. Roundtrip, including all Taxes","August 16, 2014",http://faredealalert.com/2014/08/16/delta-893-houston-shanghai-china-roundtrip-including-all-taxes/
1,"American – $369: Las Vegas – Aruba. Roundtrip, including all Taxes","August 15, 2014",http://faredealalert.com/2014/08/15/american-369-las-vegas-aruba-roundtrip-including-all-taxes/
1,"United – $918: Minneapolis / Atlanta / Detroit – Shanghai, China. Roundtrip, including all Taxes","August 15, 2014",http://faredealalert.com/2014/08/15/united-918-minneapolis-atlanta-detroit-shanghai-china-roundtrip-including-all-taxes/
1,"Delta – $779: Houston – Johannesburg, South Africa. Roundtrip, including all Taxes","August 15, 2014",http://faredealalert.com/2014/08/15/delta-779-houston-johannesburg-south-africa-roundtrip-including-all-taxes/
1,"United – $276: San Diego – Portland, Maine (and vice versa). Roundtrip, including all Taxes","August 14, 2014",http://faredealalert.com/2014/08/14/united-276-san-diego-portland-maine-and-vice-versa-roundtrip-including-all-taxes/
